,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
82,490187,L,2017-04-09,NYY,BAL,7,3,282332,489119,458731,543305,407812,474892,516770,452104,592450,519222,591720,502226,430945,592518,444432,448801,641820,570731,429666,543376
83,490186,L,2017-04-09,MIN,CWS,4,1,429722,500779,572821,543257,408045,593934,488771,593871,592696,621439,596146,466320,641313,547989,453943,605125,541645,570560,553882,594576
84,490185,W,2017-04-09,MIA,NYM,2,5,450172,592789,543829,592663,592885,519317,571506,542303,518618,500743,450172,408314,452678,493316,457803,435522,446263,624424,425784,592789
85,490189,L,2017-04-09,SF,SD,5,3,456501,453385,452655,474832,452254,457763,543063,456488,502029,431094,456501,622534,608671,571976,500208,572114,592669,595978,430947,453385
86,490183,W,2017-04-09,KC,HOU,4,5,501992,621121,460086,519058,456715,543333,521692,461235,449181,444876,609275,543807,608324,514888,621043,435263,594828,502210,503556,493114
87,490182,W,2017-04-09,CLE,AZ,2,3,446372,571578,467793,596019,446386,429665,608070,650490,543228,457706,446372,572041,444482,502671,571875,572008,518614,592273,543302,571578
88,490181,L,2017-04-09,CIN,STL,8,0,444857,593372,571740,606299,458015,594807,553993,594988,446359,642156,444857,451594,649557,572761,571431,425877,425509,576397,545341,593372
89,490180,L,2017-04-09,CHC,MIL,7,4,453562,605200,656941,592178,519203,450314,608365,518792,471083,453562,445055,542340,519346,460075,543768,570267,541650,542979,542908,605200
90,490179,L,2017-04-09,BOS,DET,7,5,519144,596057,456030,643217,605141,455759,519048,592731,506702,467055,593523,435079,592206,408234,400121,457708,607385,488671,461865,578428
91,490178,W,2017-04-09,ATL,PIT,5,6,527054,543037,542255,621020,518692,611177,455976,408252,452095,607054,527054,624428,516782,457705,570256,605137,474568,594838,455755,543037
92,490184,L,2017-04-09,LAD,COL,10,6,628317,542881,523253,608369,457759,429711,624577,408236,571771,605131,628317,453568,467827,471865,571448,596115,448602,506560,547172,542881
