,game_pk,away_team,away_sp,np,ip,er,k,bb,h
168,718616,CWS,458681,98,6.0,3.0,10,0,7
169,718614,WSH,680686,103,5.67,2.0,3,2,4
170,718604,NYY,657376,72,4.0,3.0,3,1,6
171,718612,LAD,477132,100,6.0,2.0,4,2,5
172,718610,SD,605483,100,5.0,3.0,5,5,6
173,718609,MIA,665795,82,5.0,2.0,4,1,7
174,718608,HOU,664353,93,6.0,0.0,2,3,2
175,718607,STL,656427,85,5.33,1.0,6,1,5
176,718606,SEA,669302,94,6.67,1.0,7,1,4
177,718605,CWS,608337,108,6.0,1.0,7,2,5
178,718601,CIN,668881,101,6.0,3.0,10,0,7
179,718602,WSH,669022,88,3.67,2.0,6,4,4
180,718600,BOS,519242,81,4.0,5.0,6,2,7
181,718599,OAK,686610,107,6.33,3.0,4,3,5
182,718598,MIL,676083,79,4.67,4.0,2,2,7
183,718595,KC,641745,105,6.67,1.0,7,1,3
184,718603,DET,593958,96,6.0,1.0,3,1,7
185,718597,PHI,663559,94,4.67,5.0,4,1,8
186,718596,OAK,670124,81,2.33,7.0,2,1,8
187,718594,BOS,446372,76,4.67,4.0,7,1,4
188,718593,DET,605513,88,5.0,1.0,6,1,6
189,718590,MIN,657746,92,7.0,1.0,10,0,3
190,718589,MIL,607067,83,5.67,1.0,6,1,2
191,718591,PIT,592826,95,6.0,0.0,6,2,3
192,718592,CLE,615698,104,6.0,3.0,3,2,6
193,718588,MIN,686973,83,6.0,3.0,8,1,6
194,718587,TB,656876,93,4.33,5.0,4,4,8
195,718586,PHI,592836,98,6.0,1.0,4,2,4
196,718585,SF,640455,82,3.33,2.0,4,1,4
197,718583,BAL,669330,85,5.33,3.0,3,1,5
198,718582,PIT,670912,93,7.0,1.0,10,1,6
199,718584,AZ,518516,82,5.0,5.0,1,1,9
200,718580,LAA,663776,90,3.67,0.0,6,3,3
201,718579,ATL,450203,89,6.0,2.0,5,2,6
202,718578,NYM,673540,96,4.67,4.0,7,4,7
203,718577,COL,596295,86,3.67,5.0,2,4,6
204,718575,CHC,657006,101,7.0,2.0,8,1,3
205,718574,MIL,641778,94,6.0,1.0,5,2,5
206,718581,TEX,527048,90,5.0,2.0,4,4,5
207,718569,TB,676534,42,2.67,1.0,2,1,2
208,718573,CLE,668676,79,5.0,2.0,1,0,7
209,718576,LAA,542881,81,4.0,6.0,2,4,8
210,718572,MIN,641816,90,4.33,2.0,5,3,4
211,718571,SF,543101,105,6.67,2.0,5,0,6
212,718570,BAL,502043,96,5.33,4.0,1,2,7
213,718568,PIT,672710,87,6.0,2.0,6,3,6
214,718561,COL,663372,75,3.67,5.0,5,3,5
215,718566,PHI,621381,67,2.67,3.0,6,3,2
216,718565,NYM,471911,88,5.0,2.0,3,1,4
217,718564,CHC,592791,85,5.0,0.0,7,2,2
218,718563,ATL,693821,93,5.33,3.0,4,2,8
219,718562,TEX,592351,29,2.0,1.0,2,1,1
220,718560,MIL,642547,98,5.0,5.0,5,1,9
221,718567,AZ,669194,90,6.0,1.0,4,0,5
222,718559,LAA,672282,97,6.33,2.0,7,1,6
223,718557,MIN,641154,103,6.0,2.0,7,1,7
224,718556,TB,663556,98,6.0,1.0,6,2,4
225,718555,CLE,669456,87,6.0,3.0,4,1,9
226,718554,PHI,605400,98,6.0,2.0,4,3,5
227,718553,BAL,680570,93,5.0,4.0,8,2,6
228,718552,TEX,571760,88,5.0,0.0,4,3,2
229,718550,AZ,668678,97,6.67,0.0,7,0,2
230,718549,MIL,489119,89,7.0,0.0,8,0,4
231,718548,PIT,656605,91,6.0,3.0,3,2,7
232,718547,CHC,592767,81,5.67,1.0,3,2,4
233,718546,NYM,676130,83,5.0,1.0,2,4,5
234,718545,COL,663562,95,5.0,0.0,5,3,3
235,718551,ATL,657140,95,5.67,2.0,6,3,4
236,718544,SF,657277,105,6.67,4.0,6,0,8
237,718542,TB,656222,41,3.0,1.0,1,2,1
238,718540,LAA,660271,31,2.0,1.0,3,1,0
239,718539,TEX,594798,58,4.0,0.0,5,1,0
240,718537,TOR,592332,93,4.67,7.0,5,2,7
241,718538,AZ,518876,85,6.0,1.0,3,0,5
242,718535,PIT,448179,105,6.0,1.0,7,2,6
243,718534,MIL,669203,85,5.33,2.0,3,2,3
244,718533,ATL,608331,79,5.0,0.0,4,0,4
245,718532,NYM,656849,94,6.0,6.0,6,0,7
246,718536,CHC,669713,90,7.0,1.0,7,0,5
247,718527,AZ,686753,71,3.67,2.0,3,4,3
248,718543,PHI,663559,98,7.0,3.0,3,3,3
249,718541,CLE,685410,87,6.0,1.0,5,3,3
250,718531,BAL,665152,95,6.67,0.0,6,0,4
251,718530,CLE,683769,82,5.0,3.0,1,1,8
252,718529,LAA,660761,78,3.33,2.0,1,6,3
253,718528,SF,622072,33,2.33,1.0,3,1,1
254,718526,TB,671737,84,5.33,0.0,9,1,3
255,718520,TOR,605135,97,6.33,0.0,5,1,3
256,718524,MIN,543243,98,5.0,1.0,7,2,7
257,718523,CHC,573186,100,6.0,0.0,5,2,2
258,718522,TEX,543135,95,6.0,2.0,5,1,7
259,718521,PIT,592826,95,6.0,3.0,7,3,5
260,718519,ATL,675911,98,6.0,0.0,9,3,1
261,718517,MIL,607067,73,5.0,4.0,2,2,5
262,718516,NYM,656731,96,5.0,3.0,4,4,7
263,718525,PHI,554430,94,5.0,4.0,5,0,8
264,718511,SF,502171,92,5.0,1.0,8,1,7
265,718515,TB,656876,78,5.0,0.0,7,3,3
266,718514,TEX,527048,85,5.67,3.0,3,0,8
267,718513,CLE,615698,83,6.0,0.0,4,1,4
268,718512,AZ,518516,80,3.0,7.0,2,4,7
269,718518,BAL,680694,92,6.0,0.0,6,1,5
270,718510,PHI,592836,95,6.33,2.0,3,2,5
271,718506,CHC,657006,89,6.0,1.0,5,2,4
272,718508,NYM,453286,47,3.0,0.0,3,2,1
273,718507,ATL,450203,85,6.0,1.0,5,3,5
274,718505,MIN,657746,100,6.0,3.0,3,1,6
275,718504,LAA,656288,100,5.33,2.0,4,3,4
276,718502,MIL,641778,93,7.67,2.0,4,1,4
277,718501,TOR,621244,77,7.0,2.0,3,1,3
278,718509,PIT,670912,84,6.0,1.0,6,3,3
279,718503,NYM,673540,85,5.0,4.0,4,4,5
280,718500,CIN,596133,93,6.0,4.0,8,2,4
281,718499,LAD,675627,67,3.0,2.0,0,2,5
282,718498,COL,663372,84,5.67,0.0,6,3,3
283,718497,MIN,628317,28,2.0,1.0,0,1,1
284,718496,LAA,663776,93,4.0,5.0,5,6,4
285,718494,SD,608379,81,4.0,5.0,3,1,10
286,718493,COL,663562,92,4.67,1.0,5,0,6
287,718492,CIN,668933,89,5.0,2.0,4,3,3
288,718491,LAD,628711,86,3.33,5.0,4,2,7
289,718495,DET,547179,68,5.0,0.0,4,1,3
290,718490,OAK,676664,101,6.0,4.0,11,2,5
291,718489,HOU,686613,93,4.67,4.0,7,2,7
292,718487,TOR,579328,90,6.0,1.0,3,2,4
293,718483,BOS,601713,100,5.67,3.0,7,1,7
294,718485,KC,664199,22,2.0,0.0,1,0,0
295,718484,SD,607625,100,6.0,2.0,6,1,6
296,718482,WSH,592866,93,6.0,2.0,4,1,4
297,718481,STL,571927,94,5.33,4.0,7,2,4
298,718480,NYM,664192,97,7.0,0.0,9,2,4
299,718486,CWS,656629,104,5.0,5.0,9,4,6
300,718474,CIN,570666,62,4.67,2.0,4,0,6
301,718488,MIA,666129,82,5.67,1.0,3,1,5
302,718479,LAD,669160,96,5.33,2.0,6,3,2
303,718478,NYM,656849,98,5.0,7.0,8,1,7
304,718477,CWS,656302,101,4.0,3.0,5,1,6
305,718476,TOR,666201,85,7.0,0.0,5,1,2
306,718475,COL,607536,89,6.0,4.0,6,1,5
307,718473,MIA,656970,65,4.0,1.0,3,1,3
308,718464,STL,571945,93,5.33,3.0,4,2,5
309,718471,HOU,664285,90,7.0,3.0,9,0,8
310,718466,KC,425844,71,5.0,4.0,2,0,7
311,718467,SD,605397,80,5.0,3.0,6,0,7
312,718472,DET,666214,72,4.0,5.0,4,2,6
313,718469,OAK,660261,72,2.33,8.0,2,3,7
314,718470,BOS,676477,81,4.0,5.0,1,1,8
315,718468,WSH,641771,96,3.67,1.0,5,4,3
316,718463,CIN,668881,96,6.0,1.0,6,2,4
317,718462,HOU,664299,98,6.0,1.0,10,2,3
318,718461,BOS,678394,82,4.67,3.0,3,2,5
319,718460,MIA,666200,96,4.33,4.0,6,1,8
320,718459,DET,593958,95,7.0,0.0,6,0,1
321,718458,COL,570632,74,3.67,4.0,0,4,3
322,718457,CWS,608337,102,7.0,4.0,5,2,5
323,718465,TOR,592332,103,7.0,0.0,11,0,3
324,718455,NYM,656731,81,4.0,4.0,2,1,6
325,718454,WSH,571578,96,6.0,3.0,6,2,7
326,718453,OAK,666205,93,5.0,4.0,3,4,7
327,718452,KC,543475,89,6.0,4.0,5,1,4
328,718451,LAD,477132,90,6.0,1.0,6,1,3
329,718450,STL,656427,104,6.0,3.0,9,2,5
330,718456,SD,506433,102,5.67,1.0,5,5,2
331,718449,HOU,664353,73,2.67,6.0,3,2,7
332,718448,COL,596295,83,5.0,0.0,3,3,3
333,718447,BOS,519242,83,5.0,5.0,0,1,9
334,718446,STL,656756,107,6.0,0.0,6,1,5
335,718445,TEX,543135,89,6.0,3.0,7,1,6
336,718444,CWS,458681,101,5.0,4.0,4,3,5
337,718442,NYY,666745,80,2.67,3.0,1,3,3
338,718441,DET,571510,87,5.0,2.0,8,1,5
339,718438,KC,641745,95,4.0,4.0,2,6,4
340,718437,OAK,686610,81,5.33,5.0,2,1,6
341,718443,MIA,665795,96,4.33,4.0,6,4,4
342,718433,CWS,605182,100,5.0,6.0,3,3,7
343,718440,COL,663372,82,6.0,0.0,6,0,5
344,718439,STL,663765,92,5.33,2.0,4,1,5
345,718436,HOU,677651,97,6.0,0.0,7,2,3
346,718435,BOS,446372,80,6.0,1.0,3,0,5
347,718434,TEX,527048,92,6.33,0.0,5,1,6
348,718432,LAD,592789,80,4.0,7.0,2,0,9
349,718426,SD,605483,105,5.0,2.0,5,5,4
350,718430,SEA,594835,75,5.0,1.0,2,1,4
351,718429,MIA,663773,64,3.67,4.0,2,2,6
352,718428,DET,605513,75,4.0,2.0,2,3,3
353,718427,NYY,641482,98,5.0,3.0,6,1,5
354,718425,OAK,695243,86,4.0,4.0,6,1,5
355,718422,KC,663903,92,6.0,1.0,5,0,5
356,718431,WSH,680686,91,6.0,0.0,9,1,4
357,718424,TEX,592351,95,6.0,3.0,2,2,4
358,718423,STL,571927,90,4.0,2.0,3,3,6
359,718421,COL,608566,58,3.67,3.0,4,1,6
360,718420,CWS,656629,90,5.0,4.0,4,2,6
361,718419,DET,547179,100,5.0,5.0,5,2,7
362,718418,KC,642232,77,4.0,1.0,2,1,4
363,718417,NYY,593334,84,6.0,6.0,8,2,5
364,718415,SEA,669302,86,5.0,4.0,6,1,7
365,718414,HOU,686613,95,7.0,0.0,8,2,2
366,718413,LAD,664062,65,3.33,0.0,1,3,2
367,718412,WSH,669022,101,6.0,1.0,10,2,4
368,718411,MIA,645261,88,5.67,2.0,6,3,4
369,718408,OAK,665622,93,5.0,7.0,6,3,8
370,718407,SD,608379,99,5.0,3.0,5,1,4
371,718416,BOS,656557,86,5.0,3.0,2,2,7
372,718404,SEA,669923,89,8.0,1.0,7,1,4
373,718410,MIA,666129,48,3.0,0.0,3,0,1
374,718406,SD,607625,98,5.0,4.0,3,0,7
375,718405,BAL,502043,102,4.33,3.0,3,2,8
