,game_pk,home_team,home_sp,np,ip,er,k,bb,h
158,718621,NYM,656849,89,5.67,2.0,6,2,6
159,718620,ATL,657140,75,3.0,4.0,3,4,4
160,718619,PHI,605400,100,5.67,4.0,6,0,9
161,718626,CLE,683769,67,3.0,8.0,3,2,8
162,718617,CHC,669713,64,1.33,5.0,0,4,6
163,718618,BAL,680570,99,4.33,5.0,6,4,6
164,718611,AZ,518876,98,6.0,3.0,7,4,1
165,718613,COL,607536,83,6.0,2.0,5,2,6
166,718624,SF,622072,75,4.67,0.0,5,3,1
167,718615,TEX,594798,98,7.0,2.0,9,0,7
168,718616,MIN,641154,98,7.67,2.0,10,1,3
169,718614,LAA,660271,92,7.0,0.0,6,5,1
170,718604,CLE,685410,66,4.67,1.0,3,0,4
171,718612,SF,502171,77,3.67,2.0,2,1,8
172,718610,NYM,656731,81,5.0,2.0,3,3,3
173,718609,PHI,554430,95,6.0,1.0,6,3,3
174,718608,PIT,448179,95,6.0,2.0,0,2,5
175,718607,COL,570632,77,5.0,3.0,6,1,5
176,718606,CHC,573186,98,6.0,2.0,6,2,5
177,718605,MIN,543243,78,5.0,0.0,5,2,3
178,718601,ATL,675911,98,5.0,3.0,9,2,4
179,718602,LAA,656288,69,5.0,2.0,4,0,5
180,718600,TB,671737,78,5.0,3.0,8,1,5
181,718599,BAL,665152,90,4.33,4.0,1,2,5
182,718598,AZ,686753,54,4.0,0.0,4,0,3
183,718595,TEX,543135,91,5.0,6.0,7,0,10
184,718603,TOR,592332,103,8.0,3.0,11,0,5
185,718597,CIN,666157,97,5.0,2.0,6,2,8
186,718596,BAL,608344,80,4.0,6.0,4,2,5
187,718594,TB,605488,41,3.0,1.0,5,0,1
188,718593,TOR,605135,107,6.0,2.0,7,3,4
189,718590,NYY,666745,34,0.67,7.0,0,1,6
190,718589,SD,607259,92,6.0,3.0,2,3,5
191,718591,STL,656756,96,6.33,2.0,5,2,6
192,718592,WSH,592866,95,5.0,1.0,2,2,4
193,718588,NYY,641482,93,7.0,2.0,7,0,5
194,718587,TOR,621244,77,5.0,1.0,6,0,4
195,718586,CIN,656818,55,3.0,5.0,0,3,5
196,718585,DET,666214,94,5.67,1.0,7,1,6
197,718583,CWS,605182,92,6.0,0.0,5,5,1
198,718582,STL,663765,81,5.33,0.0,3,1,7
199,718584,MIA,669432,96,6.0,1.0,7,1,5
200,718580,BOS,656557,90,4.0,2.0,6,4,4
201,718579,KC,663903,85,5.0,8.0,8,0,10
202,718578,OAK,621076,95,3.67,6.0,4,7,4
