game_pk,pitcher,np,ip,k,hits,bb
718541,593958,99.0,8.0,10.0,4.0,0.0
718543,608337,102.0,6.0,7.0,0.0,1.0
718501,677651,92.0,7.0,8.0,2.0,1.0
718502,594835,90.0,7.0,9.0,4.0,1.0
718504,666745,84.0,5.0,3.0,3.0,3.0
718505,446372,103.0,5.0,4.0,6.0,2.0
718506,695243,81.0,5.0,5.0,4.0,1.0
718507,607259,97.0,7.0,6.0,3.0,2.0
718508,592789,74.0,6.0,2.0,5.0,2.0
718509,596295,59.0,2.0,1.0,9.0,3.0
718510,605182,75.0,3.0,1.0,6.0,1.0
718511,669432,58.0,4.0,3.0,3.0,1.0
718512,663765,82.0,5.0,1.0,7.0,1.0
718513,605513,82.0,6.0,2.0,3.0,3.0
718514,663903,97.0,5.0,4.0,6.0,3.0
718515,686651,84.0,4.0,3.0,9.0,1.0
718518,669022,103.0,6.0,7.0,3.0,4.0
718494,669194,85.0,5.0,4.0,3.0,3.0
718496,641482,94.0,7.0,7.0,4.0,2.0
718497,656557,96.0,7.0,7.0,6.0,1.0
718498,621381,82.0,6.0,11.0,3.0,2.0
718499,665871,62.0,3.0,3.0,3.0,2.0
718500,672710,93.0,7.0,8.0,5.0,2.0
718503,640455,88.0,4.0,3.0,4.0,3.0
718480,543101,80.0,5.0,5.0,7.0,2.0
718481,669923,86.0,6.0,5.0,3.0,0.0
718482,641816,92.0,7.0,4.0,3.0,0.0
718483,642547,99.0,6.0,4.0,5.0,2.0
718484,668678,96.0,7.0,11.0,2.0,0.0
718485,660271,102.0,7.0,11.0,2.0,2.0
718486,676534,46.0,2.0,3.0,5.0,0.0
718487,593334,91.0,6.0,6.0,5.0,2.0
718489,693821,98.0,6.0,6.0,5.0,1.0
718490,592351,92.0,6.0,2.0,6.0,5.0
718491,592767,103.0,8.0,10.0,1.0,0.0
718492,656605,89.0,6.0,5.0,4.0,1.0
718493,605400,94.0,7.0,3.0,4.0,3.0
718495,669330,95.0,7.0,5.0,3.0,1.0
718464,622491,100.0,5.0,8.0,7.0,2.0
718466,542881,64.0,6.0,1.0,7.0,0.0
718467,518876,94.0,6.0,7.0,3.0,5.0
718468,641154,83.0,4.0,6.0,8.0,2.0
718469,571760,97.0,6.0,4.0,5.0,2.0
718470,489119,80.0,5.0,3.0,4.0,1.0
718471,657140,95.0,6.0,2.0,7.0,1.0
718472,502043,96.0,7.0,11.0,2.0,3.0
718473,669456,103.0,6.0,4.0,4.0,4.0
718474,448179,96.0,5.0,7.0,6.0,3.0
718475,650911,73.0,5.0,5.0,5.0,2.0
718476,543037,96.0,6.0,4.0,4.0,2.0
718477,663556,88.0,6.0,10.0,3.0,1.0
718478,657277,98.0,7.0,8.0,5.0,1.0
718479,669713,64.0,5.0,1.0,5.0,1.0
718488,668676,90.0,6.0,5.0,10.0,2.0
718450,623167,84.0,4.0,3.0,9.0,3.0
718451,573186,95.0,6.0,5.0,6.0,1.0
718452,672282,90.0,6.0,6.0,7.0,1.0
718453,594798,80.0,6.0,11.0,3.0,0.0
718454,641927,89.0,6.0,4.0,3.0,3.0
718455,548389,67.0,4.0,1.0,6.0,1.0
718456,686753,43.0,1.0,1.0,3.0,3.0
718457,621107,67.0,5.0,4.0,3.0,0.0
718458,554430,111.0,6.0,11.0,3.0,3.0
718459,680570,92.0,5.0,6.0,5.0,3.0
718460,671106,86.0,6.0,8.0,5.0,1.0
718461,669203,91.0,5.0,5.0,5.0,3.0
718462,608331,107.0,7.0,5.0,3.0,3.0
718463,592826,100.0,7.0,10.0,2.0,2.0
718465,657376,76.0,6.0,8.0,3.0,1.0
718437,660761,80.0,5.0,5.0,8.0,2.0
718438,674072,73.0,5.0,1.0,4.0,4.0
718441,607067,79.0,5.0,1.0,5.0,4.0
718442,543243,107.0,7.0,8.0,3.0,2.0
718443,675911,101.0,8.0,13.0,2.0,0.0
718444,605135,98.0,7.0,4.0,3.0,3.0
718445,666157,86.0,4.0,6.0,9.0,2.0
718446,502171,109.0,9.0,4.0,6.0,1.0
718447,665152,87.0,6.0,5.0,7.0,1.0
718448,615698,80.0,4.0,2.0,8.0,2.0
718449,671737,82.0,5.0,6.0,4.0,0.0
718422,669194,83.0,5.0,3.0,11.0,0.0
718425,656288,88.0,6.0,7.0,4.0,2.0
718426,657006,98.0,6.0,5.0,3.0,2.0
718427,657746,91.0,7.0,7.0,7.0,0.0
