game_pk,pitcher,np,ip,k,hits,bb
718540,660271,31.0,2.0,3.0,0.0,1.0
718542,656222,41.0,3.0,1.0,1.0,2.0
718544,657277,105.0,7.0,6.0,8.0,0.0
718516,656731,96.0,5.0,4.0,7.0,4.0
718517,607067,73.0,5.0,2.0,5.0,2.0
718519,675911,98.0,6.0,9.0,1.0,3.0
718520,605135,97.0,7.0,5.0,3.0,1.0
718521,592826,95.0,6.0,7.0,5.0,3.0
718522,543135,95.0,6.0,5.0,7.0,1.0
718523,573186,100.0,6.0,5.0,2.0,2.0
718524,543243,98.0,5.0,7.0,7.0,2.0
718525,554430,94.0,5.0,5.0,8.0,0.0
718526,671737,84.0,6.0,9.0,3.0,1.0
718527,686753,71.0,4.0,3.0,3.0,4.0
718528,622072,33.0,3.0,3.0,1.0,1.0
718529,660761,78.0,4.0,1.0,3.0,6.0
718530,683769,82.0,5.0,1.0,8.0,1.0
718531,665152,95.0,7.0,6.0,4.0,0.0
718541,685410,87.0,6.0,5.0,3.0,3.0
718543,663559,98.0,7.0,3.0,3.0,3.0
718501,621244,77.0,7.0,3.0,3.0,1.0
718502,641778,93.0,8.0,4.0,4.0,1.0
718504,656288,100.0,6.0,4.0,4.0,3.0
718505,657746,100.0,6.0,3.0,6.0,1.0
718506,657006,89.0,6.0,4.0,4.0,2.0
718507,450203,85.0,6.0,5.0,5.0,3.0
718508,453286,47.0,3.0,3.0,1.0,2.0
718509,670912,84.0,6.0,6.0,3.0,3.0
718510,592836,95.0,7.0,3.0,5.0,2.0
718511,502171,92.0,5.0,8.0,7.0,1.0
718512,518516,80.0,3.0,2.0,7.0,4.0
718513,615698,83.0,6.0,4.0,4.0,1.0
718514,527048,85.0,6.0,3.0,8.0,0.0
718515,656876,78.0,5.0,7.0,3.0,3.0
718518,680694,92.0,6.0,6.0,5.0,1.0
718494,608379,81.0,4.0,3.0,10.0,0.0
718496,663776,93.0,4.0,5.0,4.0,6.0
718497,628317,28.0,2.0,0.0,1.0,1.0
718498,663372,84.0,6.0,6.0,3.0,3.0
718499,675627,67.0,4.0,0.0,5.0,2.0
718500,596133,93.0,6.0,8.0,4.0,2.0
718503,673540,85.0,5.0,4.0,5.0,4.0
718480,664192,97.0,7.0,9.0,4.0,2.0
718481,571927,94.0,6.0,7.0,4.0,2.0
718482,592866,93.0,6.0,4.0,4.0,1.0
718483,601713,100.0,6.0,7.0,7.0,1.0
718484,607625,100.0,6.0,6.0,6.0,1.0
718485,664199,22.0,2.0,1.0,0.0,0.0
718486,656629,104.0,5.0,9.0,6.0,4.0
718487,579328,90.0,6.0,3.0,4.0,2.0
718489,686613,93.0,5.0,7.0,7.0,2.0
718490,676664,101.0,6.0,11.0,5.0,2.0
718491,628711,86.0,4.0,4.0,7.0,2.0
718492,668933,89.0,5.0,4.0,3.0,3.0
718493,663562,92.0,5.0,5.0,6.0,0.0
718495,547179,68.0,5.0,4.0,3.0,1.0
718464,571945,93.0,6.0,4.0,5.0,2.0
718466,425844,71.0,5.0,2.0,7.0,0.0
718467,605397,80.0,5.0,6.0,7.0,0.0
718468,641771,96.0,4.0,5.0,3.0,4.0
718469,660261,72.0,3.0,2.0,7.0,3.0
718470,676477,81.0,5.0,1.0,8.0,1.0
718471,664285,90.0,7.0,9.0,8.0,0.0
718472,666214,72.0,4.0,4.0,6.0,2.0
718473,656970,65.0,4.0,3.0,3.0,1.0
718474,570666,62.0,5.0,4.0,6.0,0.0
718475,607536,89.0,6.0,6.0,5.0,1.0
718476,666201,85.0,7.0,5.0,2.0,1.0
718477,656302,101.0,5.0,5.0,6.0,1.0
718478,656849,98.0,5.0,8.0,7.0,1.0
718479,669160,96.0,6.0,6.0,2.0,3.0
718488,666129,82.0,6.0,3.0,5.0,1.0
718450,656427,104.0,6.0,9.0,5.0,2.0
718451,477132,90.0,6.0,6.0,3.0,1.0
718452,543475,89.0,6.0,5.0,4.0,1.0
718453,666205,93.0,5.0,3.0,7.0,4.0
718454,571578,96.0,6.0,6.0,7.0,2.0
718455,656731,81.0,4.0,2.0,6.0,1.0
718456,506433,102.0,6.0,5.0,2.0,4.0
718457,608337,102.0,7.0,5.0,5.0,2.0
718458,570632,74.0,4.0,0.0,3.0,4.0
718459,593958,95.0,7.0,6.0,1.0,0.0
718460,666200,96.0,5.0,6.0,8.0,1.0
718461,678394,82.0,5.0,3.0,5.0,2.0
718462,664299,98.0,6.0,10.0,3.0,2.0
718463,668881,96.0,6.0,6.0,4.0,2.0
718465,592332,103.0,7.0,11.0,3.0,0.0
718437,686610,81.0,6.0,2.0,6.0,1.0
718438,641745,95.0,4.0,2.0,4.0,6.0
718441,571510,87.0,5.0,8.0,5.0,1.0
718442,666745,80.0,3.0,1.0,3.0,3.0
718443,665795,96.0,5.0,6.0,4.0,4.0
718444,458681,101.0,5.0,4.0,5.0,3.0
718445,543135,89.0,6.0,7.0,6.0,1.0
718446,656756,107.0,7.0,6.0,5.0,1.0
718447,519242,83.0,5.0,0.0,9.0,1.0
718448,596295,83.0,5.0,3.0,3.0,3.0
